product_name,nutrient_id,amount_100
Маслины,fe,0.8000
Яблоко,na,26.0000
Яблоко,k,278.0000
Яблоко,ca,16.0000
Яблоко,mg,9.0000
Яблоко,p,11.0000
Яблоко,fe,2.2000
Яблоко,beta_carotene,0.0300
Яблоко,vit_b1,0.0100
Яблоко,vit_b2,0.0300
Яблоко,vit_pp,0.3000
Яблоко,vit_c,16.0000
Банан,na,31.0000
Банан,k,348.0000
Банан,ca,8.0000
Банан,mg,42.0000
Банан,p,28.0000
Банан,fe,0.6000
Банан,beta_carotene,0.1200
Банан,vit_b1,0.0400
Банан,vit_b2,0.0500
Банан,vit_pp,0.6000
Банан,vit_c,10.0000
Лимон,na,11.0000
Лимон,k,163.0000
Лимон,ca,40.0000
Лимон,mg,12.0000
Лимон,p,22.0000
Лимон,fe,0.6000
Лимон,beta_carotene,0.0100
Лимон,vit_b1,0.0400
Лимон,vit_b2,0.0200
Лимон,vit_pp,0.1000
Лимон,vit_c,40.0000
Гречка,na,33.0000
Гречка,k,167.0000
Гречка,ca,70.0000
Гречка,mg,200.0000
Гречка,p,298.0000
Гречка,fe,6.6000
Гречка,vit_b1,0.4300
Гречка,vit_b2,0.2000
Гречка,vit_pp,4.2000
Рис белый,na,12.0000
Рис белый,k,314.0000
Рис белый,ca,24.0000
Рис белый,mg,21.0000
Рис белый,p,97.0000
Рис белый,fe,1.0000
Рис белый,vit_b1,0.0800
Рис белый,vit_b2,0.0400
Рис белый,vit_pp,1.6000
Пшено,na,10.0000
Пшено,k,211.0000
Пшено,ca,27.0000
Пшено,mg,83.0000
Пшено,p,233.0000
Пшено,fe,2.7000
Пшено,beta_carotene,0.0200
Пшено,vit_b1,0.4200
Пшено,vit_b2,0.0400
Пшено,vit_pp,1.5500
Перловка,na,10.0000
Перловка,k,172.0000
Перловка,ca,38.0000
Перловка,mg,40.0000
Перловка,p,323.0000
Перловка,fe,1.8000
Перловка,vit_b1,0.1200
Перловка,vit_b2,0.0600
Перловка,vit_pp,2.0000
Овсянка,na,49.0000
Овсянка,k,330.0000
Овсянка,ca,52.0000
Овсянка,mg,129.0000
Овсянка,p,328.0000
Овсянка,fe,3.6000
Овсянка,vit_b1,0.4500
Овсянка,vit_b2,0.1000
Овсянка,vit_pp,1.0000
Макароны,na,3.0000
Макароны,k,123.0000
Макароны,ca,19.0000
Макароны,mg,16.0000
Макароны,p,87.0000
Макароны,fe,1.6000
Макароны,vit_b1,0.1700
Макароны,vit_b2,0.0400
Макароны,vit_pp,1.2100
Фасоль белая,na,40.0000
Фасоль белая,k,1100.0000
Фасоль белая,ca,150.0000
Фасоль белая,mg,103.0000
Фасоль белая,p,480.0000
Фасоль белая,fe,5.9000
Фасоль белая,vit_b1,0.5000
Фасоль белая,vit_b2,0.1800
Фасоль белая,vit_pp,2.1000
Чечевица,na,55.0000
Чечевица,k,672.0000
Чечевица,ca,83.0000
Чечевица,mg,80.0000
Чечевица,p,390.0000
Чечевица,fe,11.8000
Чечевица,beta_carotene,0.0300
Чечевица,vit_b1,0.5000
Чечевица,vit_b2,0.2100
Чечевица,vit_pp,1.8000
Нут,na,72.0000
Нут,k,968.0000
Нут,ca,193.0000
Нут,mg,126.0000
Нут,p,444.0000
Нут,fe,2.6000
Нут,vit_b1,0.0800
Нут,vit_b2,0.0700
Нут,vit_pp,3.0900
Горох колотый,na,4.0000
Горох колотый,k,778.0000
Горох колотый,ca,24.0000
Горох колотый,mg,88.0000
Горох колотый,p,226.0000
Горох колотый,fe,7.0000
Горох колотый,vit_b1,0.9000
Горох колотый,vit_b2,0.1800
Горох колотый,vit_pp,2.2000
Хлеб ржаной,na,610.0000
Хлеб ржаной,k,245.0000
Хлеб ржаной,ca,35.0000
Хлеб ржаной,mg,47.0000
Хлеб ржаной,p,158.0000
Хлеб ржаной,fe,3.9000
Хлеб ржаной,vit_b1,0.1800
Хлеб ржаной,vit_b2,0.0800
Хлеб ржаной,vit_pp,0.6700
Семечки подсолнечника,na,160.0000
Семечки подсолнечника,k,647.0000
Семечки подсолнечника,ca,367.0000
Семечки подсолнечника,mg,317.0000
Семечки подсолнечника,p,530.0000
Семечки подсолнечника,fe,61.0000
Семечки подсолнечника,vit_b1,1.8400
Семечки подсолнечника,vit_b2,0.1800
Семечки подсолнечника,vit_pp,10.1200
Йогурт греческий,na,36.0000
Йогурт греческий,k,141.0000
Йогурт греческий,ca,110.0000
Йогурт греческий,mg,11.0000
Йогурт греческий,p,135.0000
Йогурт греческий,fe,0.0700
Йогурт греческий,vit_a,0.0270
Йогурт греческий,vit_b1,0.0230
Йогурт греческий,vit_b2,0.2780
Йогурт греческий,vit_pp,0.2080
Сыр Чеддер,na,654.0000
Сыр Чеддер,k,98.0000
Сыр Чеддер,ca,721.0000
Сыр Чеддер,mg,28.0000
Сыр Чеддер,p,512.0000
Сыр Чеддер,fe,0.6800
Сыр Чеддер,vit_a,0.3300
Сыр Чеддер,vit_b1,0.0270
Сыр Чеддер,vit_b2,0.3750
Сыр Чеддер,vit_pp,0.0800
Сыр Бри,na,629.0000
Сыр Бри,k,152.0000
Сыр Бри,ca,184.0000
Сыр Бри,mg,20.0000
Сыр Бри,p,188.0000
Сыр Бри,fe,0.5000
Сыр Бри,vit_a,0.1700
Сыр Бри,vit_b1,0.0700
Сыр Бри,vit_b2,0.5200
Сыр Бри,vit_pp,0.3800
Сыр Фета,na,1116.0000
Сыр Фета,k,62.0000
Сыр Фета,ca,493.0000
Сыр Фета,mg,19.0000
Сыр Фета,p,337.0000
Сыр Фета,fe,0.6500
Сыр Фета,vit_a,0.1300
Сыр Фета,vit_b1,0.1540
Сыр Фета,vit_b2,0.8440
Сыр Фета,vit_pp,0.9910
Бекон копчёный,na,1717.0000
Бекон копчёный,k,226.0000
Бекон копчёный,ca,11.0000
Бекон копчёный,mg,21.0000
Бекон копчёный,p,188.0000
Бекон копчёный,fe,0.9100
Бекон копчёный,vit_b1,0.3400
Бекон копчёный,vit_b2,0.1600
Бекон копчёный,vit_pp,8.3200
Сёмга,na,44.0000
Сёмга,k,363.0000
Сёмга,ca,9.0000
Сёмга,mg,27.0000
Сёмга,p,200.0000
Сёмга,fe,0.3400
